Title,Grade,Length,Genre,Rating,Users,BoxOfficeFirst,ScreenFirst,BoxOffice
Ramona and Beezus,PG,103,Adventure,6.6,4274,7810481,2719,26161406
Toy Story 3,PG,103,Animation,8.6,168181,110307189,4028,414984497
Daylight,NA,75,Horror,4.2,38,959,1,3883
Violet Tendencies,NA,99,Comedy,6,157,5264,1,5264
Zenith,NA,93,Sci-Fi,5.5,271,2347,1,5958
BearCity,NA,NA,Comedy,5.4,304,5980,1,5980
Happiness Runs,NA,88,Drama,4.7,273,2674,1,6051
The Last New Yorker,NA,90,Drama,5.2,29,4172,1,6067
Circle,NA,NA,Horror,3.2,259,3926,2,9730
The Taqwacores,NA,83,Drama,5.3,248,3532,1,11175
Jim,NA,101,NA,NA,NA,7809,1,13015
Littlerock,NA,83,Drama,6.8,182,NA,NA,13927
Douchebag,NA,81,Comedy,6.7,119,2966,1,18117
The Myth of the American Sleepover,NA,93,Comedy,6.2,601,8700,1,39001
Inhale,NA,100,Drama,6.6,1696,3030,2,40731
Evidence of a Haunting,NA,80,Drama,6,27,16800,10,54474
God of Vampires,NA,144,Horror,4.2,38,13860,10,56705
The Weathered Underground,NA,310,Action,6.5,32,NA,NA,137405
Cold Weather,NA,96,Comedy,6.1,788,14513,1,141358
The Afflicted,NA,85,Horror,4,18,90272,13,175742
Passione,NA,90,History,7.2,148,15377,1,247091
Tiny Furniture,NA,98,Comedy,6.1,500,21235,1,383549
Standing Ovation,NA,105,Musical,3.1,174,343125,625,531806
Main Street,PG,92,Drama,4.8,885,1553,1,1553
Rejoice and Shout,PG,115,NA,5.1,59,6859,1,100119
The 5th Quarter,PG,90,Biography,5,406,202342,123,399611
What If,PG,NA,NA,6.8,339,49770,23,806869
Meek's Cutoff,PG,104,Western,6.7,2781,20042,2,977600
Flipped,PG,90,Comedy,7.5,12510,224233,45,1752214
Letters to God,PG,110,Drama,5.1,1718,1101204,897,2848578
Extraordinary Measures,PG,106,Drama,6.3,7133,6012594,2545,11854694
Furry Vengeance,PG,92,Comedy,3.2,6387,6627564,2997,17596256
Just Wright,PG,100,Comedy,5,3465,8284989,1831,21520719
The Spy Next Door,PG,94,Action,5.2,10541,12877043,2924,24268828
Alpha and Omega,PG,88,Animation,4.9,4443,9106906,2625,25077977
You Again,PG,105,Comedy,5.4,12880,8407513,2458,25677801
Leap Year,PG,100,Comedy,6.1,19420,9202815,2511,25918920
Marmaduke,PG,87,Comedy,3.5,5150,11599661,3213,33643461
Gulliver's Travels,PG,85,Adventure,4.8,18570,6307691,2546,42776259
Cats & Dogs: The Revenge of Kitty Galore,PG,82,Action,3.7,4766,12279363,3705,43575716
Letters to Juliet,PG,105,Comedy,6.3,18187,13540486,2968,53021560
Legend of the Guardians: The Owls of Ga'Hoole,PG,97,Animation,7,23831,16112211,3575,55673333
Secretariat,PG,123,Drama,7.1,8685,12694770,3072,59699513
Tooth Fairy,PG,101,Comedy,4.8,11092,14010409,3344,60020099
The Last Song,PG,107,Drama,4.7,15430,16007426,2673,62950384
Diary of a Wimpy Kid,PG,94,Comedy,6,10295,22126166,3077,64001297
Percy Jackson & the Olympians: The Lightning Thief,PG,118,Adventure,5.8,39624,NA,NA,88761720
Nanny McPhee Returns,PG,109,Comedy,6,5578,2586760,512,93246388
Yogi Bear,PG,80,Animation,4.3,7056,16411322,3515,100169068
The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,113,Adventure,6.4,29320,24005069,3555,104383624
The Sorcerer's Apprentice,PG,109,Action,6.2,46848,17619622,3504,151986000
Megamind,PG,95,Animation,7.3,49301,213534795,943,163887757
The Karate Kid,PG,140,Action,6.2,45139,55665805,3663,176591618
Tangled,PG,100,Animation,7.8,63294,48767052,3603,200821936
How to train your dragon,PG,98,Animation,8.2,105433,43732319,4055,217387997
Shrek Forever After,PG,93,Animation,6.5,37693,70838207,4359,238371987
Despicable Me,PG,95,Animation,7.5,73003,56397125,3476,251501645
The Last Airbender,PG,103,Action,4.5,48632,51804232,3169,319731881
Alice in Wonderland,PG,108,Adventure,6.6,109147,116101023,3728,334185206
TRON: Legacy,PG,125,Action,6.9,102084,44026211,3451,400062763
Skateland,PG-13,98,Drama,4.9,779,5254,2,14944
Waiting for Forever,PG-13,95,Drama,6.1,4626,8917,3,25517
Redemption Road,PG-13,,Drama,5.7,150,19152,26,27012
"Lebanon, Pa.",PG-13,100,Drama,6.1,211,6675,2,30381
In My Sleep,PG-13,104,Drama,5.1,683,9285,1,57190
Oy Vey! My Son Is Gay,PG-13,90,Comedy,3.3,110,4042,1,82582
Blood Done Sign My Name,PG-13,128,Drama,6.1,251,82739,95,82739
The Romantics,PG-13,95,Comedy,5.1,3921,45527,2,103280
The Last Godfather,PG-13,100,Comedy,3,503,101921,58,163591
Legendary,PG-13,107,Drama,5.7,1816,126964,177,191875
The Tempest,PG-13,110,Comedy,5.4,1936,42436,5,261916
The First Grader,PG-13,103,Biography,7,459,20437,3,330533
Preacher's Kid,PG-13,110,Drama,4.3,275,190638,109,514522
Dylan Dog: Dead of Night,PG-13,107,Comedy,5.1,5802,754779,875,1183354
Rabbit Hole,PG-13,91,Drama,7.2,17885,53778,5,2221809
The Grace Card,PG-13,101,Drama,4.7,595,1010299,352,2428241
The Way Back,PG-13,133,Adventure,7.3,28053,1327650,254,2636950
The Way,PG-13,123,Adventure,7.3,2609,110418,33,3836967
It's Kind of a Funny Story,PG-13,101,Comedy,7.1,24573,2013406,742,6350058
Fair Game,PG-13,108,Biography,6.9,17877,651802,46,9528092
Jonah Hex,PG-13,81,Action,4.6,20802,5379365,2825,10539414
The Conspirator,PG-13,122,Crime,7,8294,3509048,707,11538204
Remember Me,PG-13,113,Drama,7.1,36895,8089139,2212,19057024
Country Strong,PG-13,117,Drama,5.9,6024,30000,2,20218921
Our Family Wedding,PG-13,103,Comedy,4.1,2848,7629862,1605,20246959
The Next Three Days,PG-13,122,Crime,7.4,55463,6542779,2564,21129348
The Losers,PG-13,97,Action,6.3,33939,9406348,2936,23580735
Lottery Ticket,PG-13,99,Comedy,4,3587,10652297,1973,24708699
The Switch,PG-13,101,Comedy,5.9,21119,8436713,2012,27758465
Morning Glory,PG-13,107,Comedy,6.5,19532,9203266,2518,30993544
Charlie St. Cloud,PG-13,99,Drama,5.9,11267,12381585,2718,31136950
Scott Pilgrim vs. the World,PG-13,112,Action,7.6,104638,10609795,2818,31494270
When in Rome,PG-13,91,Comedy,5.1,18050,12350041,2456,32669555
Devil,PG-13,80,Horror,6.4,41120,12289375,2809,33583175
Vampires Suck,PG-13,82,Comedy,3.2,19925,12202831,3233,36658108
The Back-up Plan,PG-13,106,Comedy,4.7,14974,12201710,3280,37481242
