"regcust","age","sex","type","regyear","regmon"
"gncowqlx",27,"F","Basic",2016,6
"walcuucd",29,"F","Basic",2016,6
"wwwedfyo",28,"F","Basic",2016,6
"ztexaqff",17,"M","Basic",2016,6
"uwqfxptk",21,"M","Premium",2016,6
"ebchdasz",22,"F","Basic",2016,6
"zytrpcch",39,"M","Basic",2016,6
"nihpgoff",33,"M","Basic",2016,6
"iwmzfpnn",12,"M","Premium",2016,6
"zreawuww",34,"M","Premium",2016,6
"ckaakblv",30,"M","Basic",2016,6
"tqyaeabl",20,"M","Basic",2016,6
"ithvihoh",36,"F","Premium",2016,6
"hzttnfzu",35,"M","Basic",2016,6
"nsuwsndx",40,"M","Basic",2016,6
"fellmucy",29,"F","Basic",2016,6
"kxpdeywp",30,"M","Basic",2016,6
"eicluhyk",18,"M","Basic",2016,6
"uouylhvy",11,"M","Basic",2016,6
"vqvncogb",27,"M","Basic",2016,6
"tumfoemm",22,"M","Basic",2016,6
"zqhctktg",21,"F","Premium",2016,6
"lufjamgl",30,"M","Basic",2016,6
"voxdaujf",35,"F","Basic",2016,6
"gvzrihji",22,"M","Basic",2016,6
"gcnzcnqe",25,"M","Basic",2016,6
"xhneidqm",35,"M","Basic",2016,6
"xnsqrecd",30,"F","Premium",2016,6
"vkwkrsgx",30,"F","Basic",2016,6
"elocczdf",24,"M","Basic",2016,6
"lihutslf",16,"M","Basic",2016,6
"uhsckhqx",33,"F","Basic",2016,6
"awwrhysl",37,"F","Premium",2016,6
"sltxahcr",19,"F","Basic",2016,6
"czlxtnzp",28,"M","Basic",2016,6
"rhqmztel",40,"M","Basic",2016,6
"mcjrftoo",20,"M","Basic",2016,6
"crzzntsp",16,"M","Basic",2016,6
"tjjmcivb",29,"M","Basic",2016,6
"novphpgq",25,"F","Basic",2016,6
"zplfejcz",20,"F","Basic",2016,6
"xzxlfmoi",32,"M","Basic",2016,6
"hmfrrzfa",18,"F","Basic",2016,6
"jtaxwhog",28,"M","Premium",2016,6
"vzjwvgrv",11,"F","Basic",2016,6
"jithqebz",16,"M","Basic",2016,6
"yxsjgrkv",20,"M","Basic",2016,6
"frwhwupi",34,"M","Basic",2016,6
"zmwugoqb",10,"M","Basic",2016,6
"flzwggck",17,"M","Basic",2016,6
"nqgilqpe",26,"M","Basic",2016,6
"rnboysts",34,"M","Premium",2016,6
"wrklayno",11,"F","Premium",2016,6
"uztitebq",25,"M","Basic",2016,6
"idpizxcj",34,"F","Basic",2016,6
"rqbxdcgd",15,"F","Basic",2016,6
"bhccaynv",13,"F","Basic",2016,6
"vxhwdjtu",10,"M","Premium",2016,6
"wjlbdcyi",15,"F","Basic",2016,6
"haiqyjoq",23,"M","Premium",2016,6
"ovcciruy",18,"M","Basic",2016,6
"dwgbevlu",22,"M","Basic",2016,6
"tcmdvlmh",22,"F","Basic",2016,6
"lpudszcx",20,"F","Basic",2016,6
"xjlielmq",27,"M","Basic",2016,6
"fofkpzfe",12,"M","Basic",2016,6
"qjqickce",22,"M","Basic",2016,6
"jjdazhkr",38,"F","Basic",2016,6
"ujpotwxv",26,"M","Basic",2016,6
"weqmwmqs",31,"M","Basic",2016,6
"kwnuahkj",39,"M","Basic",2016,6
"gjcjckvd",12,"M","Basic",2016,6
"ntfbzrej",31,"M","Premium",2016,6
"miwchcyp",18,"F","Basic",2016,6
"kykvytlo",35,"M","Basic",2016,6
"bldyjnmm",15,"M","Basic",2016,6
"odgfghqk",29,"F","Basic",2016,6
"ztxqijnb",33,"F","Basic",2016,6
"gynpgoxt",24,"M","Basic",2016,6
"fggudfcw",37,"M","Premium",2016,6
"kqybeire",27,"M","Premium",2016,6
"hxspvqqb",38,"F","Basic",2016,6
"otoveien",14,"M","Basic",2016,6
"yzahtkxl",20,"M","Basic",2016,6
"anogfsjw",30,"M","Basic",2016,6
"uzrmnfvl",21,"M","Basic",2016,6
"algvojjt",27,"M","Basic",2016,6
"yxkpezto",15,"F","Basic",2016,6
"pvjazohw",38,"F","Basic",2016,6
