"regcust","age","sex","type","regyear","regmon","ageGroup","status","lifeValue"
"arllzxpd",20,"M","Premium",2016,5,"Young",1,0
"ckbxzluh",31,"M","Premium",2016,5,"Adult",1,0
"mzpabcxt",28,"M","Premium",2016,5,"Young",1,0
"yxpsucwv",20,"M","Basic",2016,5,"Young",1,0
"xqatbtna",30,"M","Premium",2016,5,"Young",1,0
"gkueovqi",12,"M","Basic",2016,5,"Youth",1,0
"fuwwdpsm",14,"M","Basic",2016,5,"Youth",1,0
"cudjibty",32,"M","Basic",2016,5,"Adult",1,0
"qyqedbzn",24,"F","Basic",2016,5,"Young",1,0
"odsglpfu",33,"M","Basic",2016,5,"Adult",1,0
"qlmoduxw",20,"M","Basic",2016,5,"Young",1,0
"iavgannc",16,"M","Premium",2016,5,"Youth",1,0
"shkvbhpi",11,"M","Basic",2016,5,"Youth",1,0
"iusdywjt",19,"M","Basic",2016,5,"Young",1,0
"rpzxeobb",38,"M","Basic",2016,5,"Adult",1,0
"lorcpsvy",10,"M","Basic",2016,5,"Youth",1,0
"hekmnwjm",15,"M",NA,2016,5,"Youth",1,0
"aynnqkfi",37,"F","Basic",2016,5,"Adult",1,0
"zgqnwrms",15,"M","Basic",2016,5,"Youth",1,0
"hrlvqkqf",34,"M","Basic",2016,5,"Adult",1,0
"praoghms",32,"F","Basic",2016,5,"Adult",1,0
"adtahhjm",14,"M","Basic",2016,5,"Youth",1,0
"ceqzhjjr",40,"F","Basic",2016,5,"Adult",1,0
"pbrzmzuj",14,"M","Basic",2016,5,"Youth",1,0
"ziureqnf",10,"M","Basic",2016,5,"Youth",1,0
"ifossgfj",15,"M","Basic",2016,5,"Youth",1,0
"wvxbvzzp",25,"M","Basic",2016,5,"Young",1,0
"fmlryahf",39,"M","Basic",2016,5,"Adult",1,0
"eogqjbpk",12,"M","Basic",2016,5,"Youth",1,0
"rneblgqc",19,"M","Basic",2016,5,"Young",1,0
"gylvwezr",18,"M","Basic",2016,5,"Young",1,0
"icjqvncf",22,"F","Basic",2016,5,"Young",1,0
"xivawjma",20,"M","Basic",2016,5,"Young",1,0
"tehaetul",31,"M","Basic",2016,5,"Adult",1,0
"gkhjdxvu",24,"F","Premium",2016,5,"Young",1,0
"ietzwdfx",18,"F","Basic",2016,5,"Young",1,0
"hvspiowo",25,"M","Premium",2016,5,"Young",1,0
"pgjctwat",40,"F","Basic",2016,5,"Adult",1,0
"ddqfdhzy",12,"M","Basic",2016,5,"Youth",1,0
"bcxxnwsg",35,"M","Basic",2016,5,"Adult",1,0
"pkigxpsc",16,"M","Basic",2016,5,"Youth",1,0
"wydgmrvx",12,"M","Basic",2016,5,"Youth",1,0
"xvszincm",32,"M","Basic",2016,5,"Adult",1,0
"ngmkwcni",11,"M","Basic",2016,5,"Youth",1,0
"jnszgakj",10,"F","Premium",2016,5,"Youth",1,0
"tuwjqhtx",26,"F","Basic",2016,5,"Young",1,0
