"sex","age","Recency","Frequency","Monetary","Churn"
"M",11,4,41,1268981,"No"
"M",10,18,15,843996,"No"
"F",38,16,41,1755623,"No"
"M",13,8,14,862172,"No"
"F",20,22,42,748430,"No"
"M",32,18,26,1585058,"No"
"M",28,15,34,1819126,"No"
"F",38,15,16,1734028,"No"
"M",17,5,11,339870,"No"
"F",17,3,42,1081565,"No"
"F",38,24,28,465593,"No"
"M",36,19,40,1438408,"No"
"M",35,21,39,1773133,"No"
"M",15,9,19,675174,"No"
"M",12,20,19,1916874,"No"
"M",25,15,44,1497733,"No"
"F",21,3,37,1466844,"No"
"M",25,13,27,407679,"No"
"M",40,24,19,859875,"No"
"M",34,2,42,1908050,"No"
"F",40,9,50,567401,"No"
"F",39,8,10,335111,"No"
"M",32,2,30,777109,"No"
"F",33,9,25,775022,"No"
"F",35,2,23,871374,"No"
"M",20,16,11,1948408,"No"
"M",35,14,43,1279263,"No"
"M",26,10,49,687472,"No"
"F",38,21,39,1961801,"No"
"M",35,6,26,290776,"No"
"M",28,13,7,1084442,"No"
"F",21,4,48,187493,"No"
"F",30,15,49,1524321,"No"
"F",13,2,12,483693,"No"
"M",11,23,37,1539824,"No"
"M",38,3,6,1204696,"No"
"M",12,16,24,1361131,"No"
"F",10,13,19,1707161,"No"
"M",26,8,35,1098333,"No"
"M",38,20,35,680181,"No"
"F",17,24,10,1749334,"No"
"M",11,2,40,1776402,"No"
"F",21,15,32,702306,"No"
"F",22,13,37,1748229,"No"
"F",14,21,48,419849,"No"
"F",37,21,24,181590,"No"
"M",20,1,7,1603529,"No"
"M",11,13,23,1751044,"No"
"M",28,16,31,1051834,"No"
"M",22,10,20,1307850,"No"
"M",22,13,43,733909,"No"
"F",21,24,37,1845306,"No"
"M",27,23,40,1483123,"No"
"M",29,14,39,681803,"No"
"M",15,14,22,1023202,"No"
"F",31,22,10,1487349,"No"
"F",12,10,35,1904230,"No"
"M",39,2,40,139938,"No"
"M",29,22,23,324175,"No"
"F",40,20,16,396809,"No"
"M",19,24,9,459505,"No"
"M",15,20,8,445480,"No"
"M",28,6,44,1853118,"No"
"F",10,7,27,990898,"No"
"M",37,13,42,881518,"No"
"M",17,6,41,1878898,"No"
"M",15,4,37,1808996,"No"
"F",29,13,25,677891,"No"
"F",36,4,27,171671,"No"
"M",32,18,13,1312483,"No"
"M",24,21,35,857443,"No"
"M",27,9,44,1534178,"No"
"M",26,7,17,941323,"No"
"M",15,12,24,383519,"No"
"F",28,20,40,839301,"No"
"M",10,23,40,321504,"No"
"M",12,9,39,1139957,"No"
"M",19,19,43,1354256,"No"
"F",26,18,38,833806,"No"
"M",14,18,44,1233160,"No"
"F",40,9,26,642675,"No"
"M",24,10,46,1912424,"No"
"M",12,10,39,1045183,"No"
"M",23,14,20,1502650,"No"
"M",37,20,14,1150971,"No"
"F",12,4,15,1927305,"No"
"M",28,12,34,1946913,"No"
"M",22,6,43,1239993,"No"
"M",29,18,27,1708983,"No"
"F",35,20,41,590684,"No"
"F",33,24,37,845719,"No"
"F",25,17,28,213564,"No"
"F",14,19,20,1650143,"No"
"F",20,3,25,100353,"No"
"M",15,9,7,1807784,"No"
"M",12,11,16,1953957,"No"
"M",39,16,42,209872,"No"
"M",13,23,19,1067333,"No"
"M",35,4,27,1318125,"No"
"F",36,20,48,101267,"No"
"M",34,4,32,627031,"No"
"M",26,6,26,1409253,"No"
"F",13,21,13,1723192,"No"
"M",10,15,34,682357,"No"
"M",17,22,34,344756,"No"
"M",32,11,28,269190,"No"
"M",36,21,36,360693,"No"
"M",14,3,12,155220,"No"
"M",31,11,10,65332,"No"
"M",29,12,45,1246242,"No"
"M",12,4,15,1543142,"No"
"M",35,19,27,1931960,"No"
"M",29,22,27,301350,"No"
"M",36,8,42,1101939,"No"
"F",28,6,44,265759,"No"
"M",30,3,42,1945922,"No"
"M",38,14,5,1436620,"No"
"F",29,13,49,150171,"No"
"M",21,10,31,1247458,"No"
"M",31,15,41,531627,"No"
"M",15,6,42,1172626,"No"
"M",12,5,25,1722389,"No"
"M",27,16,6,1675996,"No"
"M",13,16,43,1880566,"No"
"F",39,17,34,707080,"No"
"M",28,7,18,1233687,"No"
"M",17,3,40,604283,"No"
"M",16,1,13,1479077,"No"
"F",23,4,47,76333,"No"
"F",24,6,32,1042234,"No"
"M",25,11,11,1485415,"No"
"F",28,24,43,1586825,"No"
"M",21,12,42,93138,"No"
"M",19,8,26,769862,"No"
"F",29,13,33,463603,"No"
"M",11,19,5,1292635,"No"
"M",40,8,27,1842987,"No"
"M",30,22,15,1738502,"No"
"F",18,21,35,66916,"No"
"M",36,2,33,1571581,"No"
"M",33,22,17,1313945,"No"
"M",16,21,31,1733189,"No"
"M",23,23,43,1834638,"No"
"M",11,14,27,1746263,"No"
"M",22,9,10,1284594,"No"
"F",24,19,32,1295275,"No"
"F",31,8,23,1884564,"No"
"M",19,2,22,872426,"No"
"M",11,24,44,1718663,"No"
"F",22,8,43,528698,"No"
"M",11,13,19,1233200,"No"
"M",15,19,33,721879,"No"
"M",34,12,39,1849539,"No"
"M",19,3,31,1635052,"No"
"M",32,14,44,1848361,"No"
"M",13,12,39,1867019,"No"
"M",40,14,46,1045227,"No"
"M",32,23,16,1788247,"No"
"F",26,22,27,1031485,"No"
