"sex","age","Computer","TV","Cellphone","Software","Frequency3","Monetary3","Monetary60"
1,37,4,1,0,2,7,1607621.20656276,3220018.16223884
0,21,4,1,1,1,7,1654844.15638362,4792483.9219101
1,20,1,2,2,1,6,1884846.00667655,4681646.22619232
1,11,0,3,0,2,5,1415477.82762533,5861252.14096508
1,17,0,2,1,0,3,1669847.83548436,3914120.7031048
1,33,3,2,2,0,7,1545481.23852585,4947146.20356515
0,31,0,3,2,5,10,2105460.07100934,6473999.40880908
0,28,0,2,1,6,9,1489749.89392392,5644315.25812264
0,19,1,2,2,7,12,2778741.22300153,9471111.08747988
0,31,6,3,0,6,15,2918166.52414713,2283950.86912228
1,33,4,1,1,4,10,1911474.13364375,8608557.63662782
0,36,1,0,1,4,6,1716291.01120753,4166897.98554586
0,27,3,1,1,1,6,1911924.39250468,6218210.68884069
0,23,3,2,1,5,11,1850448.16849163,5158172.7268641
0,19,3,3,2,3,11,2524179.00577484,5134171.76140403
0,19,2,3,2,3,10,1747747.81068215,3291324.07951625
1,20,1,2,1,0,4,1568031.30474543,6070611.82135888
0,29,5,0,0,0,5,1790373.64486958,5269906.87978666
0,17,6,0,1,2,9,1539423.47205208,8443664.04702361
0,36,4,0,2,3,9,2121702.25139448,5381559.82334991
0,33,2,2,0,1,5,1488341.60756072,2662927.73792025
0,38,1,0,1,3,5,1726595.31124986,4509869.94814665
0,35,3,0,1,6,10,2009719.62158691,5975292.98210651
1,39,1,2,1,2,6,1693040.77533858,4275894.58805015
1,12,5,2,2,3,12,2238082.32891766,4644384.43695317
1,16,1,1,2,0,4,1418756.31018427,5007130.17063102
1,27,2,1,0,7,10,2513800.70450599,7209767.24199719
1,15,6,2,0,2,10,2478641.08107034,3995479.3939677
0,26,2,3,0,7,12,1799346.90910439,7364052.09843967
0,10,2,3,0,6,11,2193621.02127869,7036727.56528637
1,32,1,2,0,6,9,2213679.71941111,11995036.1560213
0,14,5,0,1,6,12,1986771.36833141,6187846.98372104
1,20,2,2,0,6,10,1816478.95948774,2883466.60180076
1,36,6,2,2,1,11,1827785.81633099,8377068.62410562
1,39,5,1,1,0,7,1686633.70012897,8556420.19599449
1,29,4,3,1,1,9,2351936.64047826,5801695.11671109
0,25,1,0,0,5,6,1078031.31930185,4894854.61631521
0,36,0,3,2,0,5,1208609.01373452,4613707.3725853
1,40,2,1,2,6,11,1601958.92879187,4648801.81159805
0,17,5,2,1,7,15,2349641.19961997,9370538.63716474
0,24,0,0,2,2,4,1368722.134035,3857336.39343777
0,39,4,3,2,1,10,1632321.16220332,2785261.18662458
0,16,1,0,0,6,7,2061339.93938262,3590067.30986512
1,24,3,2,1,0,6,1500226.89287127,4810279.90244606
1,36,0,2,1,4,7,1666278.10344668,5075364.38810938
1,22,2,3,1,2,8,2120843.30590766,5621061.60847736
0,34,5,3,2,4,14,2197878.4687344,4751482.55047325
0,29,5,2,0,1,8,2003868.24765226,5370991.00685036
0,39,2,0,2,7,11,2896951.21626092,7408193.28523212
1,30,5,2,0,6,13,1722693.52212886,6151385.61247538
0,22,3,2,2,5,12,1970098.65463045,9303252.90231594
0,38,5,1,1,7,14,1701334.89226567,8871245.60574031
0,23,0,0,2,5,7,1752469.47854927,3599335.20455776
0,38,5,1,0,7,13,1669160.86653373,3736567.60250173
1,26,3,2,2,6,13,2760970.09548374,6011270.88564221
0,31,0,2,0,7,9,2047832.95376096,8055926.44799169
0,33,6,3,1,3,13,2604499.37896494,4958875.43373053
0,11,6,0,0,5,11,1484695.91040987,8190188.53397534
0,40,4,3,2,7,16,2822925.89447133,8014635.61568015
0,23,1,2,1,7,11,1954696.46753781,7212393.27334233
1,19,1,1,0,6,8,1993854.31376323,5972298.75752649
0,28,0,3,0,0,3,1135011.03916378,4490353.6442843
0,39,1,0,1,7,9,1662954.80804964,5563821.20820005
0,16,2,0,1,3,6,2004691.09420333,3877873.5579436
0,20,5,0,1,6,12,2447487.57029536,11720937.8257327
1,38,6,3,1,1,11,1829489.5218816,7269549.71416939
0,38,3,3,0,5,11,1967651.15405923,7745848.26167466
0,40,0,1,2,5,8,2082375.86838615,6614601.57106029
1,18,1,2,0,6,9,2613495.52034119,8111380.60941518
1,17,6,1,1,5,13,2389184.22117153,8243145.58486059
1,14,0,0,2,6,8,2325642.68268831,7572783.47606348
1,31,1,2,2,6,11,1688344.76978996,7201213.05903665
0,39,6,2,0,2,10,1969591.92265568,5717903.51093974
1,13,4,2,1,5,12,2249209.78339978,5785191.0165117
1,10,2,2,2,0,6,1665478.79445464,4509119.23692665
0,23,2,3,0,3,8,1942539.31160016,5073921.22652598
1,19,2,3,0,4,9,2508268.92971054,5662379.64079492
0,30,6,3,2,0,11,2116936.73939109,4954155.93756701
1,36,2,3,2,0,7,1850380.13841235,6174984.47610212
1,13,1,2,2,1,6,1637195.44153557,4112908.34208396
1,37,5,3,2,4,14,3191091.62503795,8534058.04236687
0,33,0,1,0,3,4,1264111.98583112,2813580.38552091
0,11,6,3,1,7,17,2528482.55398381,12919955.9439743
0,10,1,3,0,2,6,1188805.68934259,4513720.69996627
0,18,6,2,1,6,15,3364342.92466724,8380114.80961107
0,17,5,1,1,7,14,2117116.61515564,4998813.65874386
0,32,1,2,0,5,8,2089424.41445831,3251003.67420654
0,39,5,0,1,1,7,2102796.04018719,7165349.08421999
0,22,2,0,1,6,9,1904847.5839189,7652031.88418359
0,20,6,2,0,3,11,1896314.04315695,6785828.93580513
0,14,4,3,2,5,14,2710776.74580872,8574601.82912454
0,19,4,0,2,6,12,1725445.73047199,7361092.26016124
0,17,1,0,0,7,8,2233738.31700916,8019173.27396934
0,10,6,0,1,0,7,1430679.66844427,8336784.17088382
1,13,0,3,0,1,4,1207921.53733451,4071861.932034
0,26,5,1,1,2,9,2151319.02101117,9296225.07785995
0,25,3,2,1,6,12,2370954.14369116,5714872.23126001
0,31,5,1,2,5,13,2801700.79041982,6915799.3532081
0,29,1,2,0,1,4,1142064.01631007,5339859.70258657
0,17,4,2,2,6,14,1844910.53636923,6255325.25109339
1,31,2,3,0,2,7,1285690.00453099,3819100.06183025
0,23,1,3,1,5,10,2060101.07911802,5266009.44704537
1,25,5,1,2,4,12,2131507.5275187,6819827.03497156
0,35,2,1,2,4,9,2402424.15062378,4389670.22726905
0,15,4,1,0,6,11,2188196.48402925,9295590.16940288
0,15,1,3,2,1,7,2191587.46017344,7141477.04429811
0,33,3,0,0,0,3,942771.003782036,5363833.47894686
0,26,5,0,1,7,13,2144809.82910202,5007746.65565355
0,30,1,2,0,0,3,1012596.47891822,3276277.07975809
0,31,0,0,1,5,6,2187835.4056427,7610110.78978294
1,33,6,2,1,3,12,2437297.3194499,8701473.45053335
1,21,5,1,2,6,14,1876446.08621251,5731363.97989915
0,19,5,1,0,0,6,1956393.39264845,6154708.98366256
1,17,4,2,2,5,13,1773736.7026634,9966398.39366848
0,22,4,3,2,4,13,1585346.14672821,5199931.23735918
0,26,1,2,1,3,7,1962003.36827255,6725526.35601099
0,15,1,0,0,1,2,919136.735949068,3243380.46079686
0,40,5,0,2,1,8,1977392.84765237,5489911.1393818
0,16,1,1,1,7,10,2071514.70621979,3584481.93422042
1,14,4,3,2,7,16,2830868.95941199,7482579.71344215
0,32,0,2,0,6,8,2129578.1394292,3746518.52667818
0,37,3,1,2,6,12,2265013.9597828,4937884.12002318
0,34,2,2,0,4,8,1429669.32706177,1572267.11137491
0,19,4,3,1,4,12,2074028.54430219,5438535.29362702
0,38,6,2,0,2,10,1788048.08698537,8500616.39821974
0,34,2,3,1,3,9,1395010.1449231,7694107.61579238
0,10,6,1,1,0,8,1915601.456093,6635944.09845778
1,36,3,2,1,4,10,1997857.60987423,6280991.75411767
1,12,5,3,0,7,15,3045849.01295742,8545570.03169252
0,33,0,0,0,3,3,1758805.6050511,3899191.1275431
0,10,6,1,2,3,12,2286622.91650015,7333023.06587212
0,15,5,2,1,4,12,2615274.57884537,6275622.1037161
0,13,5,3,0,7,15,1879326.45641621,12757676.0017526
1,35,5,2,2,4,13,1586814.1067801,5253360.18884774
0,30,6,1,2,0,9,1718291.10463554,3152680.43973981
0,37,6,1,0,3,10,2236805.62597808,7223267.02160485
1,30,2,3,2,7,14,1400935.24995328,10132199.3561089
1,21,2,0,2,4,8,1310651.92633778,6592823.6499916
0,10,1,0,0,6,7,1550270.04052578,5266253.96652205
1,36,0,0,1,1,2,1033490.19649947,2573856.19757456
1,30,3,3,2,3,11,2170811.20790055,6831367.46880021
1,35,0,1,1,0,2,1375454.72920899,4494336.90506352
0,19,5,2,2,2,11,2610219.79712422,6063172.75314777
1,40,5,3,1,7,16,2295034.00628411,9715974.46232592
1,28,0,3,1,2,6,1678508.95821486,6494474.94564566
1,29,4,2,2,7,15,1416065.84267661,7985537.07108641
0,25,3,1,1,4,9,1668722.2632745,6437111.16188939
0,27,0,2,1,5,8,1556508.31792934,7263256.13242075
0,11,2,0,1,5,8,1957285.59684054,5882404.64023608
0,11,1,2,2,6,11,2207049.71198289,9014337.50425973
0,16,3,0,1,3,7,1665925.1815273,2479277.74340725
0,38,1,2,2,3,8,1827961.76630575,4930731.80249985
0,33,3,2,2,2,9,1974134.5756586,4293319.97948806
0,24,6,1,2,2,11,2313146.74127457,5327248.08489176
0,30,2,3,0,5,10,1711772.69185263,6275868.51452945
0,38,3,3,2,6,14,2915964.11436282,7689439.68064965
0,28,6,1,2,2,11,3090056.54067245,4765922.29029686
0,35,6,3,1,6,16,2744841.93946232,6541218.48860482
0,21,1,1,0,0,2,969176.349118354,4764909.50345581
1,13,3,1,2,6,12,1954954.16469379,4532933.35434793
1,17,4,1,1,2,8,1407829.79108179,4998644.38144042
1,22,6,1,1,7,15,3089040.79967001,4637633.95646437
1,11,1,0,2,5,8,1756435.80055624,5985817.74489514
0,14,0,0,2,7,9,1630231.30056556,4460459.75497922
0,34,0,3,0,7,10,2203517.28087956,7167328.33033713
0,21,4,3,0,3,10,2156077.44370273,3068799.76681256
0,30,4,1,1,0,6,1567131.23957188,3520195.33031492
0,19,1,0,0,6,7,2179850.17670474,3163137.11716413
1,21,4,3,1,5,13,2206977.66296809,5908231.94082146
