"sex","age","Computer","TV","Cellphone","Software","Frequency3","Monetary3","Monetary60"
0,11,3,0,2,7,12,2005249.54015982,8471040.00646287
0,21,2,3,2,0,7,1435587.20886415,2920197.69754586
0,39,5,2,2,2,11,1616419.44636605,8879458.56473956
1,34,0,0,1,2,3,959813.589429505,5838364.32182597
0,34,2,3,1,1,7,2277999.04381461,1744288.67515001
0,14,0,3,1,5,9,2057668.0818539,4433342.22105179
0,21,1,0,2,7,10,2022060.50920929,6461779.79280872
1,28,6,0,2,4,12,2181542.7326535,9401597.83731326
0,15,5,1,0,2,8,2248205.84882543,10231754.8308338
0,38,0,0,2,4,6,2010738.59791034,5204043.99111684
1,15,1,0,2,7,10,1602045.14159143,8040556.38982296
0,17,2,0,1,6,9,1773951.09770425,3007026.78014424
1,12,5,1,1,6,13,1717205.86207714,7798475.61298515
1,33,2,3,0,1,6,1256316.99953031,5033687.93672615
1,18,2,1,2,2,7,2148819.49159249,3144087.00160865
0,36,0,0,2,5,7,2144615.77575436,3284452.08827516
1,22,3,3,1,4,11,2390941.16358869,4946138.42623706
1,29,1,1,0,1,3,1045246.62466261,5791066.47118177
0,12,2,0,1,5,8,1424077.03869676,8251232.28122403
0,12,3,0,1,5,9,1972866.77387346,5515062.50759913
1,21,5,0,1,0,6,1885636.41300439,5729916.43114765
0,18,1,2,0,1,4,1161270.66447012,4430723.11454553
1,23,1,0,2,2,5,1441907.38343885,2893831.04772894
0,27,1,1,2,0,4,1747703.11345502,4712757.46121839
0,35,3,3,0,7,13,2820407.77049217,5956484.54144851
1,20,3,3,2,4,12,1536235.79170422,4480518.9767335
1,24,5,3,1,2,11,2329214.55800273,5487186.21986827
1,27,3,0,1,1,5,1103020.34087071,1852498.36424921
0,24,6,1,2,2,11,2198676.90803357,3455679.28059421
0,26,2,2,0,1,5,1596113.57167561,3811003.4560018
0,19,6,2,1,7,16,2658807.95430773,7207818.26921529
1,36,4,0,1,2,7,1665331.68006244,4198225.67233913
0,35,2,0,2,4,8,1593719.37678734,3255527.27015109
0,28,4,2,0,5,11,2080681.94723711,4049195.26851671
1,21,1,1,2,6,10,1736970.94483264,6629530.04314664
1,39,1,1,0,7,9,2445858.55968533,6728417.88784453
0,18,5,2,2,4,13,1886510.76624603,12003000.9693877
1,22,3,0,0,7,10,1911039.39130301,5222719.88327962
1,11,6,1,0,6,13,2110878.09114133,6969444.48265605
0,34,0,1,1,2,4,1383883.49109567,2274434.343439
1,21,1,1,0,6,8,1500473.22606927,7734046.67647959
0,28,0,0,2,5,7,2414444.66462233,5727326.41836137
0,12,2,0,1,0,3,982401.333467851,5063049.73986419
1,39,2,1,0,3,6,1723228.95320779,4133713.22341181
0,34,5,3,0,5,13,3090774.22203125,9302570.83465243
0,35,1,1,1,4,7,1966017.5764956,7026001.38657303
0,25,2,1,0,6,9,1509265.70473146,8490794.24829405
0,31,4,3,2,1,10,2034501.49670453,6526062.32264168
0,23,0,0,0,2,2,941795.347266061,5031797.06622959
1,30,1,0,2,7,10,2848449.34603761,9519165.72231051
0,33,6,0,0,1,7,1966268.09132144,9270936.01029119
0,39,3,0,1,4,8,2014796.04080791,5778502.29422743
0,38,3,3,2,7,15,2653431.08724364,8590508.93605847
1,37,1,2,2,1,6,1266674.12734483,2581188.79580436
1,37,4,2,1,5,12,2720136.90159249,7277523.09458544
0,31,5,1,2,1,9,1455475.47841873,8997469.91802511
0,19,6,1,2,4,13,1424162.47566444,4940046.23981363
0,11,2,3,0,0,5,1454724.73907957,6605357.20353988
0,37,6,3,0,5,14,2182475.34002738,5939203.75233325
0,34,6,3,0,6,15,2411748.56565614,4604391.70522468
0,18,0,1,1,3,5,1584555.50296107,5676954.32469135
0,20,1,3,2,1,7,1488738.96902222,7641312.22877768
1,25,4,0,2,4,10,1156811.00551043,6876173.80128813
0,10,2,0,2,4,8,2005454.5905257,5153952.11639805
0,16,1,3,1,1,6,1850776.71246917,1772006.76048757
0,10,6,0,1,2,9,1536438.61592412,7491807.96372053
0,20,6,0,0,1,7,1429419.6627214,6832329.6204222
0,34,5,2,1,1,9,2134691.11623127,7464929.51616047
0,36,6,1,1,7,15,2185408.17122491,7941279.1802357
0,31,1,2,2,4,9,2000223.20086179,7475750.40879817
1,22,4,1,2,1,8,1639315.82562558,7850927.87606787
1,22,5,1,1,3,10,2329497.82740979,6667793.33366615
