Milk,Onion,Ice cream,Beans,Eggs,Yogurt
Corn,Onion,Ice cream,Beans,Eggs,Yogurt
Milk,Apple,Beans,Eggs,,
Milk,Onion,Corn,Beans,Yogurt,
Corn,Onion,Beans,Ice cream,Eggs,
Corn,Onion,Eggs,,,
Eggs,Ice cream,,,,
Onion,Corn,Beans,Yogurt,,
Ice cream,Corn,Yogurt,,,
Yogurt,Ice cream,,,,
Eggs,Beans,Onion,,,
Milk,Eggs,Ice cream,,,
Beans,Eggs,Yogurt,Milk,Onion,Ice cream
Eggs,Milk,,,,
Onion,Ice cream,Milk,,,
Onion,Corn,Ice cream,Beans,Eggs,
Yogurt,Eggs,,,,
Ice cream,Beans,Corn,,,
Milk,Onion,Eggs,Beans,,
Ice cream,Onion,Eggs,,,
Milk,Onion,Beans,Eggs,,
